role,dataset,category,language,original_file,academic_file,title
supplementary,tess,mapas_xai_individuales,espanol,tess_mayor_incertidumbre_mc_dropout_idx1255_xai_maps.png,espanol/material_suplementario/tess_mapa_xai_mayor_incertidumbre_mc_dropout_idx1255.png,TESS - Mapa XAI del ejemplo con mayor incertidumbre MC Dropout (idx=1255)
supplementary,tess,mapas_xai_individuales,english,tess_mayor_incertidumbre_mc_dropout_idx1255_xai_maps.png,english/supplementary_figures/tess_xai_explanation_map_highest_mc_dropout_uncertainty_idx1255.png,TESS - XAI explanation map for highest MC Dropout uncertainty (idx=1255)
supplementary,tess,incertidumbre,espanol,tess_mc_dropout_scatter.png,espanol/material_suplementario/tess_dispersion_probabilidad_incertidumbre_mc_dropout.png,TESS - Probabilidad vs incertidumbre MC Dropout
supplementary,tess,incertidumbre,english,tess_mc_dropout_scatter.png,english/supplementary_figures/tess_mc_dropout_probability_uncertainty_scatter.png,TESS - MC Dropout probability vs uncertainty scatter
supplementary,tess,incertidumbre,espanol,tess_mc_dropout_uncertainty.png,espanol/material_suplementario/tess_incertidumbre_mc_dropout_ejemplos_seleccionados.png,TESS - Incertidumbre MC Dropout en ejemplos seleccionados
supplementary,tess,incertidumbre,english,tess_mc_dropout_uncertainty.png,english/supplementary_figures/tess_mc_dropout_uncertainty_selected_examples.png,TESS - MC Dropout uncertainty over selected examples
supplementary,tess,mapas_xai_individuales,espanol,tess_negativo_correcto_alta_confianza_idx802_xai_maps.png,espanol/material_suplementario/tess_mapa_xai_verdadero_negativo_alta_confianza_idx802.png,TESS - Mapa XAI de verdadero negativo de alta confianza (idx=802)
supplementary,tess,mapas_xai_individuales,english,tess_negativo_correcto_alta_confianza_idx802_xai_maps.png,english/supplementary_figures/tess_xai_explanation_map_high_confidence_true_negative_idx802.png,TESS - XAI explanation map for high-confidence true negative (idx=802)
supplementary,tess,incertidumbre,espanol,tess_outcome_uncertainty_summary.png,espanol/material_suplementario/tess_resumen_incertidumbre_por_resultado.png,TESS - Resumen de incertidumbre por resultado de prediccion
supplementary,tess,incertidumbre,english,tess_outcome_uncertainty_summary.png,english/supplementary_figures/tess_uncertainty_summary_by_prediction_outcome.png,TESS - Uncertainty summary by prediction outcome
