dataset,case,index,method,target_label,deleted_fraction,base_probability,base_target_confidence,probability_after_deletion,target_confidence_after_deletion,confidence_drop
kepler,falso_positivo,677,gradcam,1,0.0,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.0
kepler,falso_positivo,677,gradcam,1,0.05,0.9931057095527649,0.9931057095527649,0.8892167806625366,0.8892167806625366,0.10388892889022827
kepler,falso_positivo,677,gradcam,1,0.1,0.9931057095527649,0.9931057095527649,0.9214329123497009,0.9214329123497009,0.07167279720306396
kepler,falso_positivo,677,gradcam,1,0.2,0.9931057095527649,0.9931057095527649,0.9019355773925781,0.9019355773925781,0.09117013216018677
kepler,falso_positivo,677,gradcam,1,0.3,0.9931057095527649,0.9931057095527649,0.8893328309059143,0.8893328309059143,0.10377287864685059
kepler,falso_positivo,677,gradcam,1,0.5,0.9931057095527649,0.9931057095527649,0.06282361596822739,0.06282361596822739,0.9302820935845375
kepler,falso_positivo,677,gradcam_multiscale,1,0.0,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.0
kepler,falso_positivo,677,gradcam_multiscale,1,0.05,0.9931057095527649,0.9931057095527649,0.17231419682502747,0.17231419682502747,0.8207915127277374
kepler,falso_positivo,677,gradcam_multiscale,1,0.1,0.9931057095527649,0.9931057095527649,0.034202102571725845,0.034202102571725845,0.958903606981039
kepler,falso_positivo,677,gradcam_multiscale,1,0.2,0.9931057095527649,0.9931057095527649,0.3624546229839325,0.3624546229839325,0.6306510865688324
kepler,falso_positivo,677,gradcam_multiscale,1,0.3,0.9931057095527649,0.9931057095527649,0.06381191313266754,0.06381191313266754,0.9292937964200974
kepler,falso_positivo,677,gradcam_multiscale,1,0.5,0.9931057095527649,0.9931057095527649,0.003415205981582403,0.003415205981582403,0.9896905035711825
kepler,falso_positivo,677,consensus,1,0.0,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.0
kepler,falso_positivo,677,consensus,1,0.05,0.9931057095527649,0.9931057095527649,0.12073174864053726,0.12073174864053726,0.8723739609122276
kepler,falso_positivo,677,consensus,1,0.1,0.9931057095527649,0.9931057095527649,0.0943046510219574,0.0943046510219574,0.8988010585308075
kepler,falso_positivo,677,consensus,1,0.2,0.9931057095527649,0.9931057095527649,0.11895319819450378,0.11895319819450378,0.8741525113582611
kepler,falso_positivo,677,consensus,1,0.3,0.9931057095527649,0.9931057095527649,0.004912933800369501,0.004912933800369501,0.9881927757523954
kepler,falso_positivo,677,consensus,1,0.5,0.9931057095527649,0.9931057095527649,0.0017312518320977688,0.0017312518320977688,0.9913744577206671
kepler,falso_negativo,1343,saliency,0,0.0,0.0015448675258085132,0.9984551324741915,0.0015448675258085132,0.9984551324741915,0.0
kepler,falso_negativo,1343,saliency,0,0.05,0.0015448675258085132,0.9984551324741915,0.005382353439927101,0.9946176465600729,0.003837485914118588
kepler,falso_negativo,1343,saliency,0,0.1,0.0015448675258085132,0.9984551324741915,0.06912419945001602,0.930875800549984,0.06757933192420751
kepler,falso_negativo,1343,saliency,0,0.2,0.0015448675258085132,0.9984551324741915,0.8588259220123291,0.1411740779876709,0.8572810544865206
kepler,falso_negativo,1343,saliency,0,0.3,0.0015448675258085132,0.9984551324741915,0.7756048440933228,0.22439515590667725,0.7740599765675142
kepler,falso_negativo,1343,saliency,0,0.5,0.0015448675258085132,0.9984551324741915,0.130755215883255,0.869244784116745,0.1292103483574465
kepler,falso_negativo,1343,smoothgrad,0,0.0,0.0015448675258085132,0.9984551324741915,0.0015448675258085132,0.9984551324741915,0.0
kepler,falso_negativo,1343,smoothgrad,0,0.05,0.0015448675258085132,0.9984551324741915,0.007373656611889601,0.9926263433881104,0.005828789086081088
