dataset,case,index,method,target_label,faithfulness_auc_norm,drop_at_05,drop_at_10,drop_at_20,max_drop,final_drop,negative_drop_fraction,monotonicity_fraction
tess,mayor_incertidumbre_mc_dropout,1255,occlusion,0,0.2610672503709793,0.3204426169395447,0.4150530695915222,0.2503436803817749,0.4150530695915222,0.2015879154205322,0.0,0.6
tess,mayor_incertidumbre_mc_dropout,1255,saliency,0,-0.41866296045482154,-0.427191860973835,-0.3878549933433532,-0.4529241882264614,0.0,-0.4509125463664531,0.8333333333333334,0.4
tess,mayor_incertidumbre_mc_dropout,1255,smoothgrad,0,-0.35956168198026717,-0.4324808493256569,-0.378947414457798,-0.1570594012737274,0.0,-0.4498779159039259,0.8333333333333334,0.6
tess,negativo_correcto_alta_confianza,802,consensus,0,0.027348688646382485,1.2248889973420771e-06,1.846978916120179e-05,0.0015361784916834,0.0679249873809979,0.0679249873809979,0.0,1.0
tess,negativo_correcto_alta_confianza,802,gradcam,0,7.80460804658918e-05,1.2694558648718157e-07,4.773695039261838e-07,1.106102713066548e-05,0.0002797431679439,0.0002797431679439,0.0,1.0
tess,negativo_correcto_alta_confianza,802,gradcam_multiscale,0,0.04448641759625891,6.500498059835991e-07,7.666267215711287e-06,0.0003877864819017,0.2022407165222333,0.2022407165222333,0.0,1.0
tess,negativo_correcto_alta_confianza,802,integrated_gradients,0,0.027591463063957246,9.100687705654308e-07,1.7986041662254593e-05,0.000585173171153,0.0802618748002217,0.0802618748002217,0.0,1.0
tess,negativo_correcto_alta_confianza,802,occlusion,0,0.05379852009191201,1.9638386632436777e-06,2.1153033181064984e-05,0.0016775120474861,0.2189383766107724,0.2189383766107724,0.0,1.0
tess,negativo_correcto_alta_confianza,802,saliency,0,0.002013067904668349,6.44306346941903e-07,4.075265628955549e-06,7.809378616485674e-05,0.008718753089802,0.008718753089802,0.0,1.0
tess,negativo_correcto_alta_confianza,802,smoothgrad,0,0.0037435441249140376,6.44306346941903e-07,5.826545880438516e-06,9.654796480873527e-05,0.0176473891787694,0.0176473891787694,0.0,1.0
tess,positivo_correcto_alta_confianza,693,consensus,1,0.848274294566363,0.8093578815460205,0.969519542530179,0.925807684659958,0.969519542530179,0.8727099448442459,0.0,0.4
tess,positivo_correcto_alta_confianza,693,gradcam,1,-3.725290298461914e-06,-9.5367431640625e-07,-2.026557922363281e-06,-2.384185791015625e-06,0.0,-8.344650268554688e-06,0.8333333333333334,0.0
tess,positivo_correcto_alta_confianza,693,gradcam_multiscale,1,0.8669408554211259,0.8831344172358513,0.9753472171723844,0.9664568044245244,0.9753472171723844,0.8753651231527328,0.0,0.4
tess,positivo_correcto_alta_confianza,693,integrated_gradients,1,0.8587149968370795,0.8941722810268402,0.9776821471750736,0.9349005967378616,0.9776821471750736,0.8706855922937393,0.0,0.4
tess,positivo_correcto_alta_confianza,693,occlusion,1,0.8394914701581001,0.7356528341770172,0.9706517904996872,0.9152041897177696,0.9706517904996872,0.874079018831253,0.0,0.4
tess,positivo_correcto_alta_confianza,693,saliency,1,0.7624224042519927,0.2930012345314026,0.7683145850896835,0.987819972448051,0.987819972448051,0.6810283064842224,0.0,0.6
tess,positivo_correcto_alta_confianza,693,smoothgrad,1,0.763025651872158,0.5274057984352112,0.9329981654882432,0.9601481482386588,0.9601481482386588,0.4523729681968689,0.0,0.6
